CountryID,name,region,economy
ABW,Aruba,TLA,"1"
AFG,Afghanistan,TMN,"4"
AGO,Angola,TSS,"3"
ALB,Albania,TEC,"2"
AND,Andorra,TEC,"1"
ARE,United Arab Emirates,TMN,"1"
ARG,Argentina,TLA,"2"
ARM,Armenia,TEC,"2"
ASM,American Samoa,TEA,"1"
ATG,Antigua and Barbuda,TLA,"1"
AUS,Australia,TEA,"1"
AUT,Austria,TEC,"1"
AZE,Azerbaijan,TEC,"2"
BDI,Burundi,TSS,"4"
BEL,Belgium,TEC,"1"
BEN,Benin,TSS,"3"
BFA,Burkina Faso,TSS,"4"
BGD,Bangladesh,TSA,"3"
BGR,Bulgaria,TEC,"1"
BHR,Bahrain,TMN,"1"
BHS,"Bahamas, The",TLA,"1"
BIH,Bosnia and Herzegovina,TEC,"2"
BLR,Belarus,TEC,"2"
BLZ,Belize,TLA,"2"
BMU,Bermuda,NAC,"1"
BOL,Bolivia,TLA,"3"
BRA,Brazil,TLA,"2"
BRB,Barbados,TLA,"1"
BRN,Brunei Darussalam,TEA,"1"
BTN,Bhutan,TSA,"3"
BWA,Botswana,TSS,"2"
CAF,Central African Republic,TSS,"4"
CAN,Canada,NAC,"1"
CHE,Switzerland,TEC,"1"
CHI,Channel Islands,TEC,"1"
CHL,Chile,TLA,"1"
CHN,China,TEA,"2"
CIV,Côte d'Ivoire,TSS,"3"
CMR,Cameroon,TSS,"3"
COD,"Congo, Dem. Rep.",TSS,"4"
COG,"Congo, Rep.",TSS,"3"
COL,Colombia,TLA,"2"
COM,Comoros,TSS,"3"
CPV,Cabo Verde,TSS,"2"
CRI,Costa Rica,TLA,"1"
CUB,Cuba,TLA,"2"
CUW,Curaçao,TLA,"1"
CYM,Cayman Islands,TLA,"1"
CYP,Cyprus,TEC,"1"
CZE,Czechia,TEC,"1"
DEU,Germany,TEC,"1"
DJI,Djibouti,TMN,"3"
DMA,Dominica,TLA,"2"
DNK,Denmark,TEC,"1"
DOM,Dominican Republic,TLA,"2"
DZA,Algeria,TMN,"2"
ECU,Ecuador,TLA,"2"
EGY,"Egypt, Arab Rep.",TMN,"3"
ERI,Eritrea,TSS,"4"
ESP,Spain,TEC,"1"
EST,Estonia,TEC,"1"
ETH,Ethiopia,TSS,"0"
FIN,Finland,TEC,"1"
FJI,Fiji,TEA,"2"
FRA,France,TEC,"1"
FRO,Faroe Islands,TEC,"1"
FSM,"Micronesia, Fed. Sts.",TEA,"3"
GAB,Gabon,TSS,"2"
GBR,United Kingdom,TEC,"1"
GEO,Georgia,TEC,"2"
GHA,Ghana,TSS,"3"
GIB,Gibraltar,TEC,"1"
GIN,Guinea,TSS,"3"
GMB,"Gambia, The",TSS,"4"
GNB,Guinea-Bissau,TSS,"4"
GNQ,Equatorial Guinea,TSS,"2"
GRC,Greece,TEC,"1"
GRD,Grenada,TLA,"2"
GRL,Greenland,TEC,"1"
GTM,Guatemala,TLA,"2"
GUM,Guam,TEA,"1"
GUY,Guyana,TLA,"1"
HKG,"Hong Kong SAR, China",TEA,"1"
HND,Honduras,TLA,"3"
HRV,Croatia,TEC,"1"
HTI,Haiti,TLA,"3"
HUN,Hungary,TEC,"1"
IDN,Indonesia,TEA,"2"
IMN,Isle of Man,TEC,"1"
IND,India,TSA,"3"
IRL,Ireland,TEC,"1"
IRN,"Iran, Islamic Rep.",TMN,"2"
IRQ,Iraq,TMN,"2"
ISL,Iceland,TEC,"1"
ISR,Israel,TMN,"1"
ITA,Italy,TEC,"1"
JAM,Jamaica,TLA,"2"
JOR,Jordan,TMN,"3"
JPN,Japan,TEA,"1"
KAZ,Kazakhstan,TEC,"2"
KEN,Kenya,TSS,"3"
KGZ,Kyrgyz Republic,TEC,"3"
KHM,Cambodia,TEA,"3"
KIR,Kiribati,TEA,"3"
KNA,St. Kitts and Nevis,TLA,"1"
KOR,"Korea, Rep.",TEA,"1"
KWT,Kuwait,TMN,"1"
LAO,Lao PDR,TEA,"3"
LBN,Lebanon,TMN,"3"
LBR,Liberia,TSS,"4"
LBY,Libya,TMN,"2"
LCA,St. Lucia,TLA,"2"
LIE,Liechtenstein,TEC,"1"
LKA,Sri Lanka,TSA,"3"
LSO,Lesotho,TSS,"3"
LTU,Lithuania,TEC,"1"
LUX,Luxembourg,TEC,"1"
LVA,Latvia,TEC,"1"
MAC,"Macao SAR, China",TEA,"1"
MAF,St. Martin (French part),TLA,"1"
MAR,Morocco,TMN,"3"
MCO,Monaco,TEC,"1"
MDA,Moldova,TEC,"2"
MDG,Madagascar,TSS,"4"
MDV,Maldives,TSA,"2"
MEX,Mexico,TLA,"2"
MHL,Marshall Islands,TEA,"2"
MKD,North Macedonia,TEC,"2"
MLI,Mali,TSS,"4"
MLT,Malta,TMN,"1"
MMR,Myanmar,TEA,"3"
MNE,Montenegro,TEC,"2"
MNG,Mongolia,TEA,"2"
MNP,Northern Mariana Islands,TEA,"1"
MOZ,Mozambique,TSS,"4"
MRT,Mauritania,TSS,"3"
MUS,Mauritius,TSS,"2"
MWI,Malawi,TSS,"4"
MYS,Malaysia,TEA,"2"
NAM,Namibia,TSS,"3"
NCL,New Caledonia,TEA,"1"
NER,Niger,TSS,"4"
NGA,Nigeria,TSS,"3"
NIC,Nicaragua,TLA,"3"
NLD,Netherlands,TEC,"1"
NOR,Norway,TEC,"1"
NPL,Nepal,TSA,"3"
NRU,Nauru,TEA,"1"
NZL,New Zealand,TEA,"1"
OMN,Oman,TMN,"1"
PAK,Pakistan,TMN,"3"
PAN,Panama,TLA,"1"
PER,Peru,TLA,"2"
PHL,Philippines,TEA,"3"
PLW,Palau,TEA,"1"
PNG,Papua New Guinea,TEA,"3"
POL,Poland,TEC,"1"
PRI,Puerto Rico (US),TLA,"1"
PRK,"Korea, Dem. People's Rep.",TEA,"4"
PRT,Portugal,TEC,"1"
PRY,Paraguay,TLA,"2"
PSE,West Bank and Gaza,TMN,"3"
PYF,French Polynesia,TEA,"1"
QAT,Qatar,TMN,"1"
ROU,Romania,TEC,"1"
RUS,Russian Federation,TEC,"1"
RWA,Rwanda,TSS,"4"
SAU,Saudi Arabia,TMN,"1"
SDN,Sudan,TSS,"4"
SEN,Senegal,TSS,"3"
SGP,Singapore,TEA,"1"
SLB,Solomon Islands,TEA,"3"
SLE,Sierra Leone,TSS,"4"
SLV,El Salvador,TLA,"2"
SMR,San Marino,TEC,"1"
SOM,Somalia,TSS,"4"
SRB,Serbia,TEC,"2"
SSD,South Sudan,TSS,"4"
STP,São Tomé and Principe,TSS,"3"
SUR,Suriname,TLA,"2"
SVK,Slovak Republic,TEC,"1"
SVN,Slovenia,TEC,"1"
SWE,Sweden,TEC,"1"
SWZ,Eswatini,TSS,"3"
SXM,Sint Maarten (Dutch part),TLA,"1"
SYC,Seychelles,TSS,"1"
SYR,Syrian Arab Republic,TMN,"4"
TCA,Turks and Caicos Islands,TLA,"1"
TCD,Chad,TSS,"4"
TGO,Togo,TSS,"4"
THA,Thailand,TEA,"2"
TJK,Tajikistan,TEC,"3"
TKM,Turkmenistan,TEC,"2"
TLS,Timor-Leste,TEA,"3"
TON,Tonga,TEA,"2"
TTO,Trinidad and Tobago,TLA,"1"
TUN,Tunisia,TMN,"3"
TUR,Türkiye,TEC,"2"
TUV,Tuvalu,TEA,"2"
TZA,Tanzania,TSS,"3"
UGA,Uganda,TSS,"4"
UKR,Ukraine,TEC,"2"
URY,Uruguay,TLA,"1"
USA,United States,NAC,"1"
UZB,Uzbekistan,TEC,"3"
VCT,St. Vincent and the Grenadines,TLA,"2"
VEN,"Venezuela, RB",TLA,"0"
VGB,British Virgin Islands,TLA,"1"
VIR,Virgin Islands (US),TLA,"1"
VNM,Viet Nam,TEA,"3"
VUT,Vanuatu,TEA,"3"
WSM,Samoa,TEA,"2"
XKX,Kosovo,TEC,"2"
YEM,"Yemen, Rep.",TMN,"4"
ZAF,South Africa,TSS,"2"
ZMB,Zambia,TSS,"3"
ZWE,Zimbabwe,TSS,"3"
